name,weight_kg,base_total,capture_rate
Bulbasaur,6.9,318,45
Ivysaur,13.0,405,45
Venusaur,100.0,625,45
Charmander,8.5,309,45
Charmeleon,19.0,405,45
Charizard,90.5,634,45
Squirtle,9.0,314,45
Wartortle,22.5,405,45
Blastoise,85.5,630,45
Caterpie,2.9,195,255
Metapod,9.9,205,120
Butterfree,32.0,395,45
Weedle,3.2,195,255
Kakuna,10.0,205,120
Beedrill,29.5,495,45
Pidgey,1.8,251,255
Pidgeotto,30.0,349,120
Pidgeot,39.5,579,45
Spearow,2.0,262,255
Fearow,38.0,442,90
Ekans,6.9,288,255
Arbok,65.0,448,90
Pikachu,6.0,320,190
Nidoran♀,7.0,275,235
Nidorina,20.0,365,120
Nidoqueen,60.0,505,45
Nidoran♂,9.0,273,235
Nidorino,19.5,365,120
Nidoking,62.0,505,45
Clefairy,7.5,323,150
Clefable,40.0,483,25
Jigglypuff,5.5,270,170
Wigglytuff,12.0,435,50
Zubat,7.5,245,255
Golbat,55.0,455,90
Oddish,5.4,320,255
Gloom,8.6,395,120
Vileplume,18.6,490,45
Paras,5.4,285,190
Parasect,29.5,405,75
Venonat,30.0,305,190
Venomoth,12.5,450,75
Psyduck,19.6,320,190
Golduck,76.6,500,75
Mankey,28.0,305,190
Primeape,32.0,455,75
Growlithe,19.0,350,190
Arcanine,155.0,555,75
Poliwag,12.4,300,255
Poliwhirl,20.0,385,120
Poliwrath,54.0,510,45
Abra,19.5,310,200
Kadabra,56.5,400,100
Alakazam,48.0,600,50
Machop,19.5,305,180
Machoke,70.5,405,90
Machamp,130.0,505,45
Bellsprout,4.0,300,255
Weepinbell,6.4,390,120
Victreebel,15.5,490,45
Tentacool,45.5,335,190
Tentacruel,55.0,515,60
Ponyta,30.0,410,190
Rapidash,95.0,500,60
Slowpoke,36.0,315,190
Slowbro,78.5,590,75
Magnemite,6.0,325,190
Magneton,60.0,465,60
Farfetch'd,15.0,377,45
Doduo,39.2,310,190
Dodrio,85.2,470,45
Seel,90.0,325,190
Dewgong,120.0,475,75
Shellder,4.0,305,190
Cloyster,132.5,525,60
Gastly,0.1,310,190
Haunter,0.1,405,90
Gengar,40.5,600,45
Onix,210.0,385,45
Drowzee,32.4,328,190
Hypno,75.6,483,75
Krabby,6.5,325,225
Kingler,60.0,475,60
Voltorb,10.4,330,190
Electrode,66.6,490,60
Exeggcute,2.5,325,90
Cubone,6.5,320,190
Hitmonlee,49.8,455,45
Hitmonchan,50.2,455,45
Lickitung,65.5,385,45
Koffing,1.0,340,190
Weezing,9.5,490,60
Rhyhorn,115.0,345,120
Rhydon,120.0,485,60
Chansey,34.6,450,30
Tangela,35.0,435,45
Kangaskhan,80.0,590,45
Horsea,8.0,295,225
Seadra,25.0,440,75
Goldeen,15.0,320,225
Seaking,39.0,450,60
Staryu,34.5,340,225
Starmie,80.0,520,60
Mr. Mime,54.5,460,45
Scyther,56.0,500,45
Jynx,40.6,455,45
Electabuzz,30.0,490,45
Magmar,44.5,495,45
Pinsir,55.0,600,45
Tauros,88.4,490,45
Magikarp,10.0,200,255
Gyarados,235.0,640,45
Lapras,220.0,535,45
Ditto,4.0,288,35
Eevee,6.5,325,45
Vaporeon,29.0,525,45
Jolteon,24.5,525,45
Flareon,25.0,525,45
Porygon,36.5,395,45
Omanyte,7.5,355,45
Omastar,35.0,495,45
Kabuto,11.5,355,45
Kabutops,40.5,495,45
Aerodactyl,59.0,615,45
Snorlax,460.0,540,25
Articuno,55.4,580,3
Zapdos,52.6,580,3
Moltres,60.0,580,3
Dratini,3.3,300,45
Dragonair,16.5,420,45
Dragonite,210.0,600,45
Mewtwo,122.0,780,3
Mew,4.0,600,45
Chikorita,6.4,318,45
Bayleef,15.8,405,45
Meganium,100.5,525,45
Cyndaquil,7.9,309,45
Quilava,19.0,405,45
Typhlosion,79.5,534,45
Totodile,9.5,314,45
Croconaw,25.0,405,45
Feraligatr,88.8,530,45
Sentret,6.0,215,255
Furret,32.5,415,90
Hoothoot,21.2,262,255
Noctowl,40.8,452,90
Ledyba,10.8,265,255
Ledian,35.6,390,90
Spinarak,8.5,250,255
Ariados,33.5,400,90
Crobat,75.0,535,90
Chinchou,12.0,330,190
Lanturn,22.5,460,75
Pichu,2.0,205,190
Cleffa,3.0,218,150
Igglybuff,1.0,210,170
Togepi,1.5,245,190
Togetic,3.2,405,75
Natu,2.0,320,190
Xatu,15.0,470,75
Mareep,7.8,280,235
Flaaffy,13.3,365,120
Ampharos,61.5,610,45
Bellossom,5.8,490,45
Marill,8.5,250,190
Azumarill,28.5,420,75
Sudowoodo,38.0,410,65
Politoed,33.9,500,45
Hoppip,0.5,250,255
Skiploom,1.0,340,120
Jumpluff,3.0,460,45
Aipom,11.5,360,45
Sunkern,1.8,180,235
Sunflora,8.5,425,120
Yanma,38.0,390,75
Wooper,8.5,210,255
Quagsire,75.0,430,90
Espeon,26.5,525,45
Umbreon,27.0,525,45
Murkrow,2.1,405,30
Slowking,79.5,490,70
Misdreavus,1.0,435,45
Unown,5.0,336,225
Wobbuffet,28.5,405,45
Girafarig,41.5,455,60
Pineco,7.2,290,190
Forretress,125.8,465,75
Dunsparce,14.0,415,190
Gligar,64.8,430,60
Steelix,400.0,610,25
Snubbull,7.8,300,190
Granbull,48.7,450,75
Qwilfish,3.9,440,45
Scizor,118.0,600,25
Shuckle,20.5,505,190
Heracross,54.0,600,45
Sneasel,28.0,430,60
Teddiursa,8.8,330,120
Ursaring,125.8,500,60
Slugma,35.0,250,190
Magcargo,55.0,430,75
Swinub,6.5,250,225
Piloswine,55.8,450,75
Corsola,5.0,410,60
Remoraid,12.0,300,190
Octillery,28.5,480,75
Delibird,16.0,330,45
Mantine,220.0,485,25
Skarmory,50.5,465,25
Houndour,10.8,330,120
Houndoom,35.0,600,45
Kingdra,152.0,540,45
Phanpy,33.5,330,120
Donphan,120.0,500,60
Porygon2,32.5,515,45
Stantler,71.2,465,45
Smeargle,58.0,250,45
Tyrogue,21.0,210,75
Hitmontop,48.0,455,45
Smoochum,6.0,305,45
Elekid,23.5,360,45
Magby,21.4,365,45
Miltank,75.5,490,45
Blissey,46.8,540,30
Raikou,178.0,580,3
Entei,198.0,580,3
Suicune,187.0,580,3
Larvitar,72.0,300,45
Pupitar,152.0,410,45
Tyranitar,202.0,700,45
Lugia,216.0,680,3
Ho-Oh,199.0,680,3
Celebi,5.0,600,45
Treecko,5.0,310,45
Grovyle,21.6,405,45
Sceptile,52.2,630,45
Torchic,2.5,310,45
Combusken,19.5,405,45
Blaziken,52.0,630,45
Mudkip,7.6,310,45
Marshtomp,28.0,405,45
Swampert,81.9,635,45
Poochyena,13.6,220,255
Mightyena,37.0,420,127
Zigzagoon,17.5,240,255
Linoone,32.5,420,90
Wurmple,3.6,195,255
Silcoon,10.0,205,120
Beautifly,28.4,395,45
Cascoon,11.5,205,120
Dustox,31.6,385,45
Lotad,2.6,220,255
Lombre,32.5,340,120
Ludicolo,55.0,480,45
Seedot,4.0,220,255
Nuzleaf,28.0,340,120
Shiftry,59.6,480,45
Taillow,2.3,270,200
Swellow,19.8,455,45
Wingull,9.5,270,190
Pelipper,28.0,440,45
Ralts,6.6,198,235
Kirlia,20.2,278,120
Gardevoir,48.4,618,45
Surskit,1.7,269,200
Masquerain,3.6,454,75
Shroomish,4.5,295,255
Breloom,39.2,460,90
Slakoth,24.0,280,255
Vigoroth,46.5,440,120
Slaking,130.5,670,45
Nincada,5.5,266,255
Ninjask,12.0,456,120
Shedinja,1.2,236,45
Whismur,16.3,240,190
Loudred,40.5,360,120
Exploud,84.0,490,45
Makuhita,86.4,237,180
Hariyama,253.8,474,200
Azurill,2.0,190,150
Nosepass,97.0,375,255
Skitty,11.0,260,255
Delcatty,32.6,400,60
Sableye,11.0,480,45
Mawile,11.5,480,45
Aron,60.0,330,180
Lairon,120.0,430,90
Aggron,360.0,630,45
Meditite,11.2,280,180
Medicham,31.5,510,90
Electrike,15.2,295,120
Manectric,40.2,575,45
Plusle,4.2,405,200
Minun,4.2,405,200
Volbeat,17.7,430,150
Illumise,17.7,430,150
Roselia,2.0,400,150
Gulpin,10.3,302,225
Swalot,80.0,467,75
Carvanha,20.8,305,225
Sharpedo,88.8,560,60
Wailmer,130.0,400,125
Wailord,398.0,500,60
Numel,24.0,305,255
Camerupt,220.0,560,150
Torkoal,80.4,470,90
Spoink,30.6,330,255
Grumpig,71.5,470,60
Spinda,5.0,360,255
Trapinch,15.0,290,255
Vibrava,15.3,340,120
Flygon,82.0,520,45
Cacnea,51.3,335,190
Cacturne,77.4,475,60
Swablu,1.2,310,255
Altaria,20.6,590,45
Zangoose,40.3,458,90
Seviper,52.5,458,90
Lunatone,168.0,460,45
Solrock,154.0,460,45
Barboach,1.9,288,190
Whiscash,23.6,468,75
Corphish,11.5,308,205
Crawdaunt,32.8,468,155
Baltoy,21.5,300,255
Claydol,108.0,500,90
Lileep,23.8,355,45
Cradily,60.4,495,45
Anorith,12.5,355,45
Armaldo,68.2,495,45
Feebas,7.4,200,255
Milotic,162.0,540,60
Castform,0.8,420,45
Kecleon,22.0,440,200
Shuppet,2.3,295,225
Banette,12.5,555,45
Duskull,15.0,295,190
Dusclops,30.6,455,90
Tropius,100.0,460,200
Chimecho,1.0,455,45
Absol,47.0,565,30
Wynaut,14.0,260,125
Snorunt,16.8,300,190
Glalie,256.5,580,75
Spheal,39.5,290,255
Sealeo,87.6,410,120
Walrein,150.6,530,45
Clamperl,52.5,345,255
Huntail,27.0,485,60
Gorebyss,22.6,485,60
Relicanth,23.4,485,25
Luvdisc,8.7,330,225
Bagon,42.1,300,45
Shelgon,110.5,420,45
Salamence,102.6,700,45
Beldum,95.2,300,3
Metang,202.5,420,3
Metagross,550.0,700,3
Regirock,230.0,580,3
Regice,175.0,580,3
Registeel,205.0,580,3
Latias,40.0,700,3
Latios,60.0,700,3
Kyogre,352.0,770,3
Groudon,950.0,770,3
Rayquaza,206.5,780,45
Jirachi,1.1,600,3
Deoxys,60.8,600,3
Turtwig,10.2,318,45
Grotle,97.0,405,45
Torterra,310.0,525,45
Chimchar,6.2,309,45
Monferno,22.0,405,45
Infernape,55.0,534,45
Piplup,5.2,314,45
Prinplup,23.0,405,45
Empoleon,84.5,530,45
Starly,2.0,245,255
Staravia,15.5,340,120
Staraptor,24.9,485,45
Bidoof,20.0,250,255
Bibarel,31.5,410,127
Kricketot,2.2,194,255
Kricketune,25.5,384,45
Shinx,9.5,263,235
Luxio,30.5,363,120
Luxray,42.0,523,45
Budew,1.2,280,255
Roserade,14.5,515,75
Cranidos,31.5,350,45
Rampardos,102.5,495,45
Shieldon,57.0,350,45
Bastiodon,149.5,495,45
Burmy,3.4,224,120
Wormadam,6.5,424,45
Mothim,23.3,424,45
Combee,5.5,244,120
Vespiquen,38.5,474,45
Pachirisu,3.9,405,200
Buizel,29.5,330,190
Floatzel,33.5,495,75
Cherubi,3.3,275,190
Cherrim,9.3,450,75
Shellos,6.3,325,190
Gastrodon,29.9,475,75
Ambipom,20.3,482,45
Drifloon,1.2,348,125
Drifblim,15.0,498,60
Buneary,5.5,350,190
Lopunny,33.3,580,60
Mismagius,4.4,495,45
Honchkrow,27.3,505,30
Glameow,3.9,310,190
Purugly,43.8,452,75
Chingling,0.6,285,120
Stunky,19.2,329,225
Skuntank,38.0,479,60
Bronzor,60.5,300,255
Bronzong,187.0,500,90
Bonsly,15.0,290,255
Mime Jr.,13.0,310,145
Happiny,24.4,220,130
Chatot,1.9,411,30
Spiritomb,108.0,485,100
Gible,20.5,300,45
Gabite,56.0,410,45
Garchomp,95.0,700,45
Munchlax,105.0,390,50
Riolu,20.2,285,75
Lucario,54.0,625,45
Hippopotas,49.5,330,140
Hippowdon,300.0,525,60
Skorupi,12.0,330,120
Drapion,61.5,500,45
Croagunk,23.0,300,140
Toxicroak,44.4,490,75
Carnivine,27.0,454,200
Finneon,7.0,330,190
Lumineon,24.0,460,75
Mantyke,65.0,345,25
Snover,50.5,334,120
Abomasnow,135.5,594,60
Weavile,34.0,510,45
Magnezone,180.0,535,30
Lickilicky,140.0,515,30
Rhyperior,282.8,535,30
Tangrowth,128.6,535,30
Electivire,138.6,540,30
Magmortar,68.0,540,30
Togekiss,38.0,545,30
Yanmega,51.5,515,30
Leafeon,25.5,525,45
Glaceon,25.9,525,45
Gliscor,42.5,510,30
Mamoswine,291.0,530,50
Porygon-Z,34.0,535,30
Gallade,52.0,618,45
Probopass,340.0,525,60
Dusknoir,106.6,525,45
Froslass,26.6,480,75
Rotom,0.3,520,45
Uxie,0.3,580,3
Mesprit,0.3,580,3
Azelf,0.3,580,3
Dialga,683.0,680,3
Palkia,336.0,680,3
Heatran,430.0,600,3
Regigigas,420.0,670,3
Giratina,750.0,680,3
Cresselia,85.6,600,3
Phione,3.1,480,30
Manaphy,1.4,600,3
Darkrai,50.5,600,3
Shaymin,2.1,600,45
Arceus,320.0,720,3
Victini,4.0,600,3
Snivy,8.1,308,45
Servine,16.0,413,45
Serperior,63.0,528,45
Tepig,9.9,308,45
Pignite,55.5,418,45
Emboar,150.0,528,45
Oshawott,5.9,308,45
Dewott,24.5,413,45
Samurott,94.6,528,45
Patrat,11.6,255,255
Watchog,27.0,420,255
Lillipup,4.1,275,255
Herdier,14.7,370,120
Stoutland,61.0,500,45
Purrloin,10.1,281,255
Liepard,37.5,446,90
Pansage,10.5,316,190
Simisage,30.5,498,75
Pansear,11.0,316,190
Simisear,28.0,498,75
Panpour,13.5,316,190
Simipour,29.0,498,75
Munna,23.3,292,190
Musharna,60.5,487,75
Pidove,2.1,264,255
Tranquill,15.0,358,120
Unfezant,29.0,488,45
Blitzle,29.8,295,190
Zebstrika,79.5,497,75
Roggenrola,18.0,280,255
Boldore,102.0,390,120
Gigalith,260.0,515,45
Woobat,2.1,323,190
Swoobat,10.5,425,45
Drilbur,8.5,328,120
Excadrill,40.4,508,60
Audino,31.0,545,255
Timburr,12.5,305,180
Gurdurr,40.0,405,90
Conkeldurr,87.0,505,45
Tympole,4.5,294,255
Palpitoad,17.0,384,120
Seismitoad,62.0,509,45
Throh,55.5,465,45
Sawk,51.0,465,45
Sewaddle,2.5,310,255
Swadloon,7.3,380,120
