name,weight_kg,base_total,capture_rate
Bulbasaur,0.06801360272054412,318,45
Ivysaur,0.1290258051610322,405,45
Venusaur,0.9991998399679937,625,45
Charmander,0.08401680336067213,309,45
Charmeleon,0.1890378075615123,405,45
Charizard,0.9041808361672334,634,45
Squirtle,0.08901780356071215,314,45
Wartortle,0.22404480896179238,405,45
Blastoise,0.8541708341668334,630,45
Caterpie,0.028005601120224047,195,255
Metapod,0.09801960392078417,205,120
Butterfree,0.3190638127625525,395,45
Weedle,0.03100620124024805,195,255
Kakuna,0.09901980396079216,205,120
Beedrill,0.2940588117623525,495,45
Pidgey,0.01700340068013603,251,255
Pidgeotto,0.2990598119623925,349,120
Pidgeot,0.3940788157631526,579,45
Spearow,0.019003800760152033,262,255
Fearow,0.3790758151630326,442,90
Ekans,0.06801360272054412,288,255
Arbok,0.6491298259651931,448,90
Pikachu,0.0590118023604721,320,190
Nidoran♀,0.06901380276055212,275,235
Nidorina,0.19903980796159232,365,120
Nidoqueen,0.599119823964793,505,45
Nidoran♂,0.08901780356071215,273,235
Nidorino,0.19403880776155233,365,120
Nidoking,0.619123824764953,505,45
Clefairy,0.07401480296059212,323,150
Clefable,0.39907981596319264,483,25
Jigglypuff,0.05401080216043209,270,170
Wigglytuff,0.1190238047609522,435,50
Zubat,0.07401480296059212,245,255
Golbat,0.549109821964393,455,90
Oddish,0.05301060212042409,320,255
Gloom,0.08501700340068014,395,120
Vileplume,0.1850370074014803,490,45
Paras,0.05301060212042409,285,190
Parasect,0.2940588117623525,405,75
Venonat,0.2990598119623925,305,190
Venomoth,0.1240248049609922,450,75
Psyduck,0.19503900780156033,320,190
Golduck,0.7651530306061213,500,75
Mankey,0.27905581116223244,305,190
Primeape,0.3190638127625525,455,75
Growlithe,0.1890378075615123,350,190
Arcanine,1.5493098619723946,555,75
Poliwag,0.1230246049209842,300,255
Poliwhirl,0.19903980796159232,385,120
Poliwrath,0.5391078215643129,510,45
Abra,0.19403880776155233,310,200
Kadabra,0.5641128225645129,400,100
Alakazam,0.4790958191638328,600,50
Machop,0.19403880776155233,305,180
Machoke,0.7041408281656332,405,90
Machamp,1.2992598519703942,505,45
Bellsprout,0.03900780156031206,300,255
Weepinbell,0.06301260252050411,390,120
Victreebel,0.15403080616123224,490,45
Tentacool,0.4540908181636327,335,190
Tentacruel,0.549109821964393,515,60
Ponyta,0.2990598119623925,410,190
Rapidash,0.9491898379675936,500,60
Slowpoke,0.3590718143628726,315,190
Slowbro,0.7841568313662733,590,75
Magnemite,0.0590118023604721,325,190
Magneton,0.599119823964793,465,60
Farfetch'd,0.14902980596119225,377,45
Doduo,0.39107821564312867,310,190
Dodrio,0.8511702340468095,470,45
Seel,0.8991798359671935,325,190
Dewgong,1.199239847969594,475,75
Shellder,0.03900780156031206,305,190
Cloyster,1.3242648529705943,525,60
Gastly,0.0,310,190
Haunter,0.0,405,90
Gengar,0.40408081616323266,600,45
Onix,2.0994198839767955,385,45
Drowzee,0.32306461292258454,328,190
Hypno,0.7551510302060412,483,75
Krabby,0.0640128025605121,325,225
Kingler,0.599119823964793,475,60
Voltorb,0.10302060412082417,330,190
Electrode,0.6651330266053211,490,60
Exeggcute,0.02400480096019204,325,90
Cubone,0.0640128025605121,320,190
Hitmonlee,0.49709941988397677,455,45
Hitmonchan,0.5011002200440088,455,45
Lickitung,0.6541308261652331,385,45
Koffing,0.009001800360072015,340,190
Weezing,0.09401880376075215,490,60
Rhyhorn,1.1492298459691939,345,120
Rhydon,1.199239847969594,485,60
Chansey,0.34506901380276056,450,30
Tangela,0.3490698139627926,435,45
Kangaskhan,0.7991598319663933,590,45
Horsea,0.07901580316063213,295,225
Seadra,0.2490498099619924,440,75
Goldeen,0.14902980596119225,320,225
Seaking,0.38907781556311266,450,60
Staryu,0.34406881376275256,340,225
Starmie,0.7991598319663933,520,60
Mr. Mime,0.5441088217643529,460,45
Scyther,0.5591118223644729,500,45
Jynx,0.40508101620324066,455,45
Electabuzz,0.2990598119623925,490,45
Magmar,0.44408881776355275,495,45
Pinsir,0.549109821964393,600,45
Tauros,0.8831766353270656,490,45
Magikarp,0.09901980396079216,200,255
Gyarados,2.349469893978796,640,45
Lapras,2.199439887977596,535,45
Ditto,0.03900780156031206,288,35
Eevee,0.0640128025605121,325,45
Vaporeon,0.28905781156231247,525,45
Jolteon,0.2440488097619524,525,45
Flareon,0.2490498099619924,525,45
Porygon,0.3640728145629126,395,45
Omanyte,0.07401480296059212,355,45
Omastar,0.3490698139627926,495,45
Kabuto,0.11402280456091218,355,45
Kabutops,0.40408081616323266,495,45
Aerodactyl,0.589117823564713,615,45
Snorlax,4.5999199839967995,540,25
Articuno,0.5531106221244249,580,3
Zapdos,0.5251050210042009,580,3
Moltres,0.599119823964793,580,3
Dratini,0.03200640128025605,300,45
Dragonair,0.16403280656131228,420,45
Dragonite,2.0994198839767955,600,45
Mewtwo,1.2192438487697541,780,3
Mew,0.03900780156031206,600,45
Chikorita,0.06301260252050411,318,45
Bayleef,0.15703140628125625,405,45
Meganium,1.0042008401680336,525,45
Cyndaquil,0.07801560312062412,309,45
Quilava,0.1890378075615123,405,45
Typhlosion,0.7941588317663533,534,45
Totodile,0.09401880376075215,314,45
Croconaw,0.2490498099619924,405,45
Feraligatr,0.8871774354870975,530,45
Sentret,0.0590118023604721,215,255
Furret,0.32406481296259254,415,90
Hoothoot,0.2110422084416883,262,255
Noctowl,0.4070814162832566,452,90
Ledyba,0.10702140428085619,265,255
Ledian,0.3550710142028406,390,90
